,datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
0,2022-08-02 15:00:00,ITC,NSE,,,,,309.3,309.3,309.3,309.3,-58935,,0
1,2022-08-03 09:00:00,ITC,NSE,,,,,306,306.4,305.8,306,198799,,1
2,2022-08-03 09:10:00,ITC,NSE,,,,,310.9,310.9,310.9,310.9,0,,2
3,2022-08-03 09:15:00,ITC,NSE,,,,,310.65,310.65,309.3,309.5,249684,,3
4,2022-08-03 09:20:00,ITC,NSE,,,,,309.3,309.95,308.9,309,557012,,4
5,2022-08-03 09:25:00,ITC,NSE,,,,,309,309.55,308.4,308.75,389258,,5
6,2022-08-03 09:30:00,ITC,NSE,,,,,308.8,309,306.8,307.2,623328,,6
7,2022-08-03 09:35:00,ITC,NSE,,,,,307.05,307.2,306.25,306.5,468974,,7
8,2022-08-03 09:40:00,ITC,NSE,,,,,306.45,306.5,305.75,306.15,356738,,8
9,2022-08-03 09:45:00,ITC,NSE,,,,,306,306.65,305.55,305.6,446318,,9
10,2022-08-03 09:50:00,ITC,NSE,,,,,305.65,306.4,305.55,306.35,281641,,10
11,2022-08-03 09:55:00,ITC,NSE,,,,,306.4,306.4,305.85,305.95,239228,,11
12,2022-08-03 10:00:00,ITC,NSE,,,,,306,306.15,304,304.15,3189181,,12
13,2022-08-03 10:05:00,ITC,NSE,,,,,306.05,306.1,305.8,306.05,302788,,13
14,2022-08-03 10:10:00,ITC,NSE,,,,,306.05,306.45,305.9,306.35,250964,,14
15,2022-08-03 10:15:00,ITC,NSE,,,,,306.35,306.45,305.9,305.95,246937,,15
16,2022-08-03 10:20:00,ITC,NSE,,,,,305.9,306.25,305.3,305.75,308547,,16
17,2022-08-03 10:25:00,ITC,NSE,,,,,305.8,305.9,305.05,305.1,226030,,17
18,2022-08-03 10:30:00,ITC,NSE,,,,,305.05,305.2,304.2,304.7,473116,,18
19,2022-08-03 10:35:00,ITC,NSE,,,,,304.7,305.2,304.55,305.2,202739,,19
20,2022-08-03 10:40:00,ITC,NSE,,,,,305.2,305.65,305,305.05,147486,,20
21,2022-08-03 10:45:00,ITC,NSE,,,,,305.05,305.2,304,304.25,271809,,21
22,2022-08-03 10:50:00,ITC,NSE,,,,,304.25,304.5,303.65,304.45,315080,,22
23,2022-08-03 10:55:00,ITC,NSE,,,,,304.5,304.75,303.8,304.1,284067,,23
24,2022-08-03 11:00:00,ITC,NSE,,,,,304.1,306.15,304.1,306.05,2961981,,24
25,2022-08-03 11:05:00,ITC,NSE,,,,,304.15,304.9,304.15,304.85,218853,,25
26,2022-08-03 11:10:00,ITC,NSE,,,,,304.85,305.15,304.5,304.85,202482,,26
27,2022-08-03 11:15:00,ITC,NSE,,,,,304.9,305.25,304.8,305.1,132891,,27
28,2022-08-03 11:20:00,ITC,NSE,,,,,305.1,305.4,305,305.1,170185,,28
29,2022-08-03 11:25:00,ITC,NSE,,,,,305,305.9,305,305.45,192194,,29
30,2022-08-03 11:30:00,ITC,NSE,,,,,305.4,305.6,305,305.55,130486,,30
31,2022-08-03 11:35:00,ITC,NSE,,,,,305.45,306,305.45,305.5,110958,,31
32,2022-08-03 11:40:00,ITC,NSE,,,,,305.5,306.5,305.5,306.45,262504,,32
33,2022-08-03 11:45:00,ITC,NSE,,,,,306.45,307.4,306.45,306.75,704444,,33
34,2022-08-03 11:50:00,ITC,NSE,,,,,306.8,306.9,306.3,306.5,450400,,34
35,2022-08-03 11:55:00,ITC,NSE,,,,,306.45,306.7,305.75,306.15,274384,,35
36,2022-08-03 12:00:00,ITC,NSE,,,,,305.95,307.25,305.95,307.05,1636207,,36
37,2022-08-03 12:05:00,ITC,NSE,,,,,306.05,306.2,305.9,306.1,120232,,37
38,2022-08-03 12:10:00,ITC,NSE,,,,,306.1,306.15,305.1,305.1,140609,,38
39,2022-08-03 12:15:00,ITC,NSE,,,,,305.05,305.4,305,305.3,118367,,39
40,2022-08-03 12:20:00,ITC,NSE,,,,,305.35,306,305.3,305.95,192668,,40
41,2022-08-03 12:25:00,ITC,NSE,,,,,305.9,306.2,305.75,305.85,101252,,41
42,2022-08-03 12:30:00,ITC,NSE,,,,,305.85,306.1,305.8,306.1,86248,,42
43,2022-08-03 12:35:00,ITC,NSE,,,,,306.1,306.5,305.95,306.2,193187,,43
